iteration,prim_res,dual_res,duality_gap,restart
1,1.461e-01,1.051e+00,-9.815e+00,0
2,9.383e-02,8.143e-01,-6.878e+00,0
3,6.000e-02,5.695e-01,-5.535e+00,0
4,5.518e-02,5.101e-01,-4.634e+00,0
5,5.011e-02,5.665e-01,-3.865e+00,0
6,3.784e-02,5.489e-01,-3.091e+00,0
7,2.817e-02,5.210e-01,-2.258e+00,0
8,2.992e-02,4.952e-01,-1.593e+00,0
9,2.909e-02,4.656e-01,-1.113e+00,0
10,2.970e-02,3.888e-01,-7.209e-01,0
11,3.408e-02,2.940e-01,-4.628e-01,0
12,3.271e-02,2.231e-01,-3.573e-01,0
13,2.821e-02,2.211e-01,-3.136e-01,0
14,2.188e-02,2.014e-01,-2.953e-01,0
15,1.726e-02,1.860e-01,-3.075e-01,0
16,1.568e-02,1.658e-01,-3.031e-01,0
17,1.398e-02,1.501e-01,-2.685e-01,0
18,1.125e-02,1.418e-01,-2.359e-01,0
19,1.078e-02,1.359e-01,-2.319e-01,0
20,1.009e-02,1.237e-01,-2.392e-01,0
21,9.368e-03,1.166e-01,-2.679e-01,0
22,8.690e-03,1.206e-01,-3.169e-01,0
23,7.786e-03,1.191e-01,-3.660e-01,0
24,9.314e-03,1.088e-01,-4.122e-01,0
25,1.002e-02,9.947e-02,-4.529e-01,0
26,9.917e-03,9.838e-02,-4.953e-01,0
27,8.981e-03,1.065e-01,-5.363e-01,0
28,7.435e-03,1.045e-01,-5.664e-01,0
29,5.731e-03,9.216e-02,-5.792e-01,0
30,5.322e-03,8.878e-02,-5.726e-01,0
31,7.255e-03,8.727e-02,-5.370e-01,0
32,7.985e-03,8.924e-02,-4.982e-01,0
33,7.405e-03,8.813e-02,-4.475e-01,0
34,6.707e-03,8.056e-02,-3.878e-01,0
35,5.687e-03,7.434e-02,-3.227e-01,0
36,4.956e-03,6.761e-02,-2.722e-01,0
37,4.738e-03,6.411e-02,-2.372e-01,0
38,3.902e-03,6.268e-02,-2.108e-01,0
39,2.808e-03,6.328e-02,-1.911e-01,0
40,3.504e-03,6.599e-02,-1.695e-01,0
41,3.790e-03,6.897e-02,-1.462e-01,0
42,3.633e-03,6.976e-02,-1.343e-01,0
43,3.406e-03,7.001e-02,-1.353e-01,0
44,3.022e-03,6.820e-02,-1.415e-01,0
45,3.118e-03,6.468e-02,-1.501e-01,0
46,3.308e-03,6.220e-02,-1.627e-01,0
47,3.336e-03,5.895e-02,-1.762e-01,0
48,3.186e-03,4.913e-02,-1.870e-01,0
49,3.375e-03,3.862e-02,-1.849e-01,0
50,3.452e-03,3.050e-02,-1.777e-01,0
51,3.231e-03,3.382e-02,-1.672e-01,0
52,2.590e-03,3.573e-02,-1.607e-01,0
53,2.368e-03,3.631e-02,-1.578e-01,0
54,2.713e-03,3.637e-02,-1.581e-01,0
55,2.802e-03,3.615e-02,-1.605e-01,0
56,2.700e-03,3.583e-02,-1.640e-01,0
57,2.472e-03,3.545e-02,-1.679e-01,0
58,2.173e-03,3.239e-02,-1.709e-01,0
59,1.861e-03,3.050e-02,-1.757e-01,0
60,1.838e-03,2.978e-02,-1.804e-01,0
61,1.741e-03,2.777e-02,-1.839e-01,0
62,2.053e-03,2.760e-02,-1.875e-01,0
63,1.977e-03,2.739e-02,-1.900e-01,0
64,1.860e-03,2.743e-02,-1.884e-01,0
65,1.722e-03,2.863e-02,-1.830e-01,0
66,1.600e-03,2.913e-02,-1.762e-01,0
67,1.591e-03,2.917e-02,-1.678e-01,0
68,1.684e-03,2.555e-02,-1.546e-01,0
69,1.742e-03,2.189e-02,-1.348e-01,0
70,1.896e-03,1.906e-02,-1.159e-01,0
71,1.917e-03,1.885e-02,-9.864e-02,0
